ip,request_count,max_req_count_5min,avg_req_count_5min,requests_per_second,avg_time_between_requests,unique_endpoints,unique_ids_accessed,status_404_count,max_error_rate_5min,suspicious_ua_ratio,bot_ratio,mobile_ratio,post_frequency,max_repeated_endpoint_hits,login_attempt_count,failed_login_count,failed_login_rate,max_login_req_per_min,avg_time_between_login_attempts,iso_prediction,iso_score_raw
5.127.232.115,35,25,17.5,0.2215189873417721,4.647058823529412,31,31,0,0.0,0.0,0.0,1.0,0.0,4,0,0,0.0,0.0,0.0,1,0.197563199411891
5.127.237.235,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731
5.127.24.27,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731
5.127.25.105,4,3,2.0,0.0275862068965517,48.333333333333336,4,8,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.270834910041363
5.127.25.62,6,5,3.0,0.0203389830508474,59.0,6,15,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.26213813491027743
5.127.26.198,3,2,1.5,0.0098360655737704,152.5,2,17,0,0.5,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0,1,0.1650921853407888
5.127.26.34,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731
5.127.35.40,3,2,1.5,0.0084745762711864,177.0,3,13,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2568990062770943
5.127.43.125,3,2,1.5,0.0053191489361702,282.0,3,7,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2518357775884678
5.127.49.168,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053
5.127.53.131,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053
