ip,request_count,max_req_count_5min,avg_req_count_5min,requests_per_second,avg_time_between_requests,unique_endpoints,unique_ids_accessed,status_404_count,max_error_rate_5min,suspicious_ua_ratio,bot_ratio,mobile_ratio,post_frequency,max_repeated_endpoint_hits,login_attempt_count,failed_login_count,failed_login_rate,max_login_req_per_min,avg_time_between_login_attempts
5.78.248.74,2,1,1.0,0.0034602076124567475,578.0,2,6,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
5.9.67.220,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
50.68.233.32,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
51.15.15.54,160,10,8.421052631578947,0.028875654214040786,34.84905660377358,160,20,1,0.1111111111111111,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
51.15.253.189,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
51.15.59.178,3,2,1.5,0.012244897959183673,122.5,3,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
51.255.200.221,3,2,1.5,0.014634146341463415,102.5,3,7,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
51.255.65.46,3,1,1.0,0.00034234851078397807,4381.5,3,18,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,0.0
51.255.77.75,18,9,6.0,0.019955654101995565,53.05882352941177,18,47,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
51.38.114.73,3,3,3.0,0.07317073170731707,20.5,3,7,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
51.38.124.150,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
51.38.125.215,13,5,2.6,0.006378802747791953,169.83333333333334,13,30,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
51.38.125.220,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
51.38.125.238,3,3,3.0,3.0,0.0,3,10,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
51.38.127.230,14,10,7.0,0.02491103202846975,43.23076923076923,14,13,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
51.38.64.34,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
51.38.64.84,2,1,1.0,0.1111111111111111,18.0,2,6,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
51.38.65.179,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
