ip,request_count,max_req_count_5min,avg_req_count_5min,requests_per_second,avg_time_between_requests,unique_endpoints,unique_ids_accessed,status_404_count,max_error_rate_5min,suspicious_ua_ratio,bot_ratio,mobile_ratio,post_frequency,max_repeated_endpoint_hits,login_attempt_count,failed_login_count,failed_login_rate,max_login_req_per_min,avg_time_between_login_attempts,iso_prediction,iso_score_raw,dbscan_label,ae_prediction,ae_reconstruction_error,iso_anomaly_score,dbscan_anomaly_score,ae_anomaly_score,risk_score,risk_level
5.116.235.3,2,2,2.0,0.0153846153846153,130.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2671072103144884,0,1,0.0040622179665408,0,0,0,0.0,Low
5.116.242.83,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731,0,1,0.0023729166104672,0,0,0,0.0,Low
5.116.32.83,9,9,9.0,0.2142857142857142,5.25,9,13,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2486120532016774,0,1,0.0027522231164024,0,0,0,0.0,Low
5.116.36.214,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053,0,1,0.0022868837414865,0,0,0,0.0,Low
5.116.37.173,3,2,1.5,0.0126050420168067,119.0,3,7,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2658111631062688,0,1,0.0036468028089409,0,0,0,0.0,Low
5.116.39.73,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2468344758987808,0,1,0.0160075763498119,0,0,0,0.0,Low
5.116.41.244,20,16,10.0,0.150375939849624,7.0,20,23,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2338045657664,0,1,0.0057173945489942,0,0,0,0.0,Low
5.116.44.223,2,1,1.0,0.1428571428571428,14.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2719903596546693,0,1,0.0020227589332293,0,0,0,0.0,Low
5.116.50.44,2,2,2.0,0.2222222222222222,9.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2742938169918009,0,1,0.001737791478685,0,0,0,0.0,Low
5.116.57.199,6,6,6.0,0.2222222222222222,5.4,6,14,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2543576360493836,0,1,0.0018650792991834,0,0,0,0.0,Low
5.116.6.35,25,25,25.0,1.5625,0.6666666666666666,25,30,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2108527705329138,0,1,0.0163014866887083,0,0,0,0.0,Low
5.116.71.2,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731,0,1,0.0023729166104672,0,0,0,0.0,Low
5.116.72.198,99,99,99.0,0.66,1.530612244897959,92,82,0,0.0,0.0,0.0,1.0,0.0,8,0,0,0.0,0.0,0.0,1,0.0570679274741192,0,1,0.3275595007141123,0,0,0,0.0,Low
5.116.77.75,23,23,23.0,0.5227272727272727,2.0,23,32,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2231573220479647,0,1,0.0072830658658333,0,0,0,0.0,Low
5.116.96.208,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731,0,1,0.0023729166104672,0,0,0,0.0,Low
5.116.98.157,3,3,3.0,0.2,7.5,3,7,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2732577741254795,0,1,0.0018757374161053,0,0,0,0.0,Low
5.117.0.124,29,29,29.0,9.666666666666666,0.1071428571428571,29,13,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.0830012894899701,0,1,0.5439658849410661,0,0,0,0.0,Low
5.117.0.237,16,16,16.0,2.6666666666666665,0.4,14,11,0,0.0,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0,1,0.2138693772139805,0,1,0.0509170474377411,0,0,0,0.0,Low
5.117.113.186,5,5,5.0,0.0340136054421768,36.75,5,13,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2605109951137874,0,1,0.0031385338406488,0,0,0,0.0,Low
5.117.123.164,2,1,1.0,0.1,20.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2719903596546693,0,1,0.0023009650616805,0,0,0,0.0,Low
5.117.150.159,12,12,12.0,6.0,0.1818181818181818,7,1,8,0.6666666666666666,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0,1,0.024017047961832,0,1,0.4739301810490129,0,0,0,0.0,Low
5.117.155.154,17,17,17.0,0.2463768115942029,4.3125,14,22,0,0.0,0.0,0.0,1.0,0.0,4,0,0,0.0,0.0,0.0,1,0.2120040083918972,0,1,0.0084987368042021,0,0,0,0.0,Low
5.117.167.217,2,2,2.0,0.0289855072463768,69.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2713685586585269,0,1,0.0032518038640044,0,0,0,0.0,Low
5.117.180.83,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731,0,1,0.0023729166104672,0,0,0,0.0,Low
5.117.181.15,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2745855554154426,0,1,0.002127453170405,0,0,0,0.0,Low
5.117.183.146,26,26,26.0,1.0,1.04,26,13,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2154733460374928,0,1,0.0094818259602848,0,0,0,0.0,Low
5.117.183.185,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053,0,1,0.0022868837414865,0,0,0,0.0,Low
5.117.189.130,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053,0,1,0.0022868837414865,0,0,0,0.0,Low
5.117.200.224,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2745855554154426,0,1,0.0021274561347543,0,0,0,0.0,Low
5.117.202.46,2,2,2.0,0.0185185185185185,108.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.268540657493321,0,1,0.003747307721859,0,0,0,0.0,Low
5.117.204.241,58,44,19.33333333333333,0.1384248210023866,7.350877192982456,53,56,0,0.0,0.0,0.0,1.0,0.0,6,0,0,0.0,0.0,0.0,1,0.1490936719763491,0,1,0.0556187853785459,0,0,0,0.0,Low
5.117.209.59,3,3,3.0,1.0,1.5,3,16,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2619340942361098,0,1,0.0052602600708873,0,0,0,0.0,Low
5.117.222.245,6,4,3.0,0.0198675496688741,60.4,6,15,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2619451185149289,0,1,0.0027856299886166,0,0,0,0.0,Low
5.117.226.208,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053,0,1,0.0022868837414865,0,0,0,0.0,Low
